পর্ব ১: অনুপাত ও সমানুপাত (Ratio & Proportion)
১. ক:খ = ৩:৪ এবং খ:গ = ৫:৬ হলে, ক:খ:গ = কত? ক. ১৫:২০:২৪ খ. ১৫:২৪:২০ গ. ১২:১৫:২০ ঘ. ৯:১২:১৮ | উত্তর: ক | ব্যাখ্যা: 'দ' পদ্ধতি ব্যবহার করুন। ৩×৫=১৫, ৪×৫=২০, ৪×৬=২৪। সুতরাং ১৫:২০:২৪।






২. a:b = ২:৩, b:c = ৪:৫ এবং c:d = ৬:৭ হলে, a:d = কত? ক. ১৬:৩৫ খ. ৮:৩৫ গ. ১৬:২১ ঘ. ১২:৩৫ | উত্তর: ক | ব্যাখ্যা: a/d = (a/b) × (b/c) × (c/d) = (২/৩) × (৪/৫) × (৬/৭) = ৪৮/১০৫ = ১৬/৩৫।






৩. ৩, ৯ এবং ৪ এর চতুর্থ সমানুপাতী কত? ক. ৮ খ. ১০ গ. ১২ ঘ. ১৬ | উত্তর: গ | ব্যাখ্যা: ১ম/২য় = ৩য়/৪র্থ। ৩/৯ = ৪/x ⇒ ৩x = ৩৬ ⇒ x = ১২।






৪. ৪ এবং ১৬ এর মধ্য সমানুপাতী (Mean proportional) কত? ক. ৬ খ. ৮ গ. ১০ ঘ. ১২ | উত্তর: খ | ব্যাখ্যা: মধ্য সমানুপাতী = √(৪ × ১৬) = √৬৪ = ৮।






৫. ৯ এবং ১২ এর তৃতীয় সমানুপাতী কত? ক. ১৫ খ. ১৬ গ. ১৮ ঘ. ২০ | উত্তর: খ | ব্যাখ্যা: ৯/১২ = ১২/x ⇒ ৯x = ১৪৪ ⇒ x = ১৬।






৬. ২a = ৩b = ৪c হলে a:b:c = কত? ক. ২:৩:৪ খ. ৪:৩:২ গ. ৬:৪:৩ ঘ. ৩:৪:৬ | উত্তর: গ | ব্যাখ্যা: ২, ৩, ৪ এর লসাগু ১২। লসাগু দিয়ে ভাগ করলে a/৬ = b/৪ = c/৩। অনুপাত ৬:৪:৩।






৭. একটি ক্লাসে ছাত্র ও ছাত্রীর অনুপাত ৫:৩। ছাত্রীর সংখ্যা ছাত্রের চেয়ে ১০ জন কম হলে মোট শিক্ষার্থী কত? ক. ৩০ খ. ৪০ গ. ৫০ ঘ. ৬০ | উত্তর: খ | ব্যাখ্যা: অনুপাতের পার্থক্য ২। ২ অংশ = ১০ জন। ১ অংশ = ৫। মোট ৮ অংশ = ৮×৫ = ৪০ জন।






৮. দুটি সংখ্যার অনুপাত ৫:৮ এবং তাদের পার্থক্য ৬৯ হলে বড় সংখ্যাটি কত? ক. ১৫৪ খ. ১৮৪ গ. ২৩০ ঘ. ২৫০ | উত্তর: খ | ব্যাখ্যা: পার্থক্য ৩ অংশ = ৬৯। ১ অংশ = ২৩। বড় সংখ্যা ৮ অংশ = ৮×২৩ = ১৮৪।






