পর্ব ১: সমান্তর ধারা (Arithmetic Progression - AP) বেসিক
১. সমান্তর ধারার n-তম পদের সূত্র কোনটি? ক. a + (n-1)d খ. a + nd গ. a + (n+1)d ঘ. arⁿ⁻¹ | উত্তর: ক | ব্যাখ্যা: সমান্তর ধারায় যেকোনো পদ নির্ণয়ের মূল সূত্র a + (n-1)d, যেখানে a=প্রথম পদ, d=সাধারণ অন্তর।


২. ১, ৩, ৫, ৭... ধারাটির ১০ম পদ কত? ক. ১৭ খ. ১৯ গ. ২১ ঘ. ২৩ | উত্তর: খ | ব্যাখ্যা: a=১, d=২। ১০ম পদ = ১ + (১০-১)২ = ১ + ১৮ = ১৯।


৩. ২, ৫, ৮, ১১... ধারাটির ১৫তম পদ কত? ক. ৪২ খ. ৪৪ গ. ৪৭ ঘ. ৫০ | উত্তর: খ | ব্যাখ্যা: a=২, d=৩। ১৫তম পদ = ২ + ১৪×৩ = ২ + ৪২ = ৪৪।


৪. ৭, ১২, ১৭... ধারাটির কততম পদ ৬২? ক. ১০ খ. ১১ গ. ১২ ঘ. ১৩ | উত্তর: গ | ব্যাখ্যা: ৭ + (n-1)৫ = ৬২ ⇒ (n-1)৫ = ৫৫ ⇒ n-1 = ১১ ⇒ n = ১২।


৫. ৮, ১১, ১৪... ধারাটির ২১০ তম পদ কত? ক. ৬৩৫ খ. ৬৩৮ গ. ৬৪০ ঘ. ৬৪৫ | উত্তর: ক | ব্যাখ্যা: a=৮, d=৩। ২১০তম পদ = ৮ + (২০৯)×৩ = ৮ + ৬ ২৭ = ৬৩৫।


৬. ৫, ২, -১, -৪... ধারাটির ১০ম পদ কত? ক. -২২ খ. -২৫ গ. -২৮ ঘ. -৩১ | উত্তর: ক | ব্যাখ্যা: a=৫, d= -৩। ১০ম পদ = ৫ + ৯(-৩) = ৫ - ২৭ = -২২।


৭. কোনো সমান্তর ধারার ১ম পদ ৫ এবং সাধারণ অন্তর ৪ হলে, ধারাটির n-তম পদ কত? ক. 4n+1 খ. 4n-1 গ. 5n+4 ঘ. 4n+5 | উত্তর: ক | ব্যাখ্যা: n-তম পদ = a+(n-1)d = ৫ + (n-1)৪ = ৫ + 4n - 4 = 4n + 1।


৮. সমান্তর ধারার ৫তম পদ ১৫ এবং ১০তম পদ ৩০ হলে, সাধারণ অন্তর কত? ক. ২ খ. ৩ গ. ৪ ঘ. ৫ | উত্তর: খ | ব্যাখ্যা: ৫টি পদের পার্থক্য = ৩০ - ১৫ = ১৫। সুতরাং ১টি পদের পার্থক্য (d) = ১৫/৫ = ৩।


৯. কোনো সমান্তর ধারার ১০ম পদ ৪০ এবং সাধারণ অন্তর ৩ হলে, ১ম পদ কত? ক. ১০ খ. ১৩ গ. ১৬ ঘ. ১৯ | উত্তর: খ | ব্যাখ্যা: a + 9d = 40 ⇒ a + ২৭ = ৪০ ⇒ a = ১৩।


