পর্ব ১: সংখ্যা পদ্ধতি (Number System)
১. ক্ষুদ্রতম মৌলিক সংখ্যা কোনটি? ক. ০ খ. ১ গ. ২ ঘ. ৩ | উত্তর: গ | ব্যাখ্যা: মৌলিক সংখ্যার শর্ত হলো এর দুটি উৎপাদক (১ এবং ঐ সংখ্যা) থাকতে হবে। ১-এর উৎপাদক কেবল ১টি। তাই ক্ষুদ্রতম মৌলিক সংখ্যা ২।
২. ১ থেকে ১০০ পর্যন্ত মৌলিক সংখ্যা কতটি? ক. ২০ খ. ২৫ গ. ৩০ ঘ. ৫০ | উত্তর: খ | ব্যাখ্যা: মুখস্থ শর্টকাট ট্রিক: ৪৪-২২-৩২২-৩২১ (প্রতি ১০ ঘরে মৌলিক সংখ্যার সংখ্যা)। মোট যোগফল ২৫টি।
৩. ১ থেকে ৫০ পর্যন্ত মৌলিক সংখ্যা কতটি? ক. ১০ খ. ১২ গ. ১৫ ঘ. ২৫ | উত্তর: গ | ব্যাখ্যা: ৪৪-২২-৩২২-৩২১ ট্রিক অনুযায়ী প্রথম ৫০ পর্যন্ত অর্থাৎ প্রথম ৫টি ঘরের যোগফল: ৪+৪+২+২+৩ = ১৫টি।
৪. কোনটি অমূলদ সংখ্যা? ক. √৯ খ. √১৬ গ. √২ ঘ. √২৫ | উত্তর: গ | ব্যাখ্যা: যেসব সংখ্যার বর্গমূল পূর্ণসংখ্যা হয় না, তারা অমূলদ সংখ্যা। ৯, ১৬, ২৫ পূর্ণবর্গ সংখ্যা, কিন্তু ২ নয়।
৫. π (পাই) কী ধরনের সংখ্যা? ক. মূলদ খ. অমূলদ গ. পূর্ণ ঘ. মৌলিক | উত্তর: খ | ব্যাখ্যা: π এর মান ৩.১৪১৫৯... যা অসীম এবং অনাবৃত্ত। তাই এটি একটি অমূলদ সংখ্যা।
৬. দুটি ক্রমিক জোড় সংখ্যার গুণফল সর্বদা কত দ্বারা বিভাজ্য? ক. ৪ খ. ৬ গ. ৮ ঘ. ১২ | উত্তর: গ | ব্যাখ্যা: যেকোনো দুটি ক্রমিক জোড় সংখ্যা ধরুন: ২ ও ৪ (গুণফল ৮), বা ৪ ও ৬ (গুণফল ২৪)। উভয়েই সর্বদা ৮ দ্বারা বিভাজ্য।
৭. ২ এবং ৩ ব্যতীত অন্য যেকোনো মৌলিক সংখ্যাকে ৬ দ্বারা ভাগ করলে ভাগশেষ কত হবে? ক. ১ বা ২ খ. ১ বা ৫ গ. ২ বা ৩ ঘ. ৩ বা ৫ | উত্তর: খ | ব্যাখ্যা: যেকোনো মৌলিক সংখ্যা (p > ৩) সবসময় 6k ± 1 আকারে থাকে। যেমন: ৫ = ৬(১)-১ (ভাগশেষ ৫), ৭ = ৬(১)+১ (ভাগশেষ ১)।
৮. দুটি বিজোড় সংখ্যার যোগফল সর্বদা কী হয়? ক. জোড় খ. বিজোড় গ. মৌলিক ঘ. অমূলদ | উত্তর: ক | ব্যাখ্যা: বিজোড় + বিজোড় = জোড়। যেমন: ৩+৫=৮।
৯. ০.৩৩৩... কী ধরনের সংখ্যা? ক. অমূলদ খ. মূলদ গ. পূর্ণ ঘ. মৌলিক | উত্তর: খ | ব্যাখ্যা: আবৃত্ত বা পৌনঃপুনিক দশমিক সংখ্যা সবসময় মূলদ সংখ্যা, কারণ এদের ভগ্নাংশে (৩/৯ বা ১/৩) প্রকাশ করা যায়।
১০. নিচের কোন ভগ্নাংশটি সবচেয়ে বড়? ক. ২/৩ খ. ৩/৪ গ. ৪/৫ ঘ. ৫/৬ | উত্তর: ঘ | ব্যাখ্যা: লব ও হরের পার্থক্য সমান (এখানে সবার পার্থক্য ১) হলে, যে ভগ্নাংশের লব বড়, সেটিই সবচেয়ে বড়।
১১. নিচের কোন ভগ্নাংশটি সবচেয়ে ছোট? ক. ১/৩ খ. ২/৭ গ. ৩/৮ ঘ. ৫/১২ | উত্তর: খ | ব্যাখ্যা: আড়াআড়ি গুণ পদ্ধতি (Cross Multiplication): ১/৩ ও ২/৭ এর মধ্যে ৭×১=৭, ৩×২=৬। ৬ ছোট, তাই ২/৭ ছোট। এভাবেই বাকিগুলো চেক করলে ২/৭ ই ক্ষুদ্রতম।
১২. দুটি অমূলদ সংখ্যার গুণফল কী হতে পারে? ক. সর্বদা মূলদ খ. সর্বদা অমূলদ গ. মূলদ বা অমূলদ ঘ. অবাস্তব | উত্তর: গ | ব্যাখ্যা: √২ × √৩ = √৬ (অমূলদ)। আবার √২ × √২ = ২ (মূলদ)। তাই মূলদ ও অমূলদ উভয়ই হতে পারে।
১৩. কোন সংখ্যাটি ৩/৪ এবং ৪/৫ এর মধ্যবর্তী? ক. ১/২ খ. ৭/৯ গ. ৫/৬ ঘ. ৯/১০ | উত্তর: খ | ব্যাখ্যা: ৩/৪ = ০.৭৫ এবং ৪/৫ = ০.৮০। অপশনগুলোর মধ্যে ৭/৯ = ০.৭৭..., যা এদের মধ্যবর্তী।
১৪. একটি সংখ্যার ৩ গুণের সাথে দ্বিগুণ যোগ করলে ৯০ হয়। সংখ্যাটি কত? ক. ১৫ খ. ১৮ গ. ২০ ঘ. ২৪ | উত্তর: খ | ব্যাখ্যা: সমীকরণ: ৩x + ২x = ৯০ ⇒ ৫x = ৯০ ⇒ x = ১৮।
১৫. ৫টি ক্রমিক সংখ্যার গড় ২০ হলে, ক্ষুদ্রতম সংখ্যাটি কত? ক. ১৮ খ. ১৯ গ. ২০ ঘ. ২১ | উত্তর: ক | ব্যাখ্যা: বিজোড় সংখ্যক ক্রমিক সংখ্যার গড় সবসময় মাঝখানের সংখ্যাটি হয়। মাঝেরটি ২০ হলে, আগের দুটি ১৯, ১৮। ক্ষুদ্রতম ১৮।
১৬. একটি সংখ্যা ৩ দ্বারা বিভাজ্য হবে যদি— ক. শেষ অঙ্ক জোড় হয় খ. অঙ্কগুলোর যোগফল ৩ দ্বারা বিভাজ্য হয় গ. শেষ অঙ্ক ৫ হয় ঘ. শেষ দুটি অঙ্ক ৩ দ্বারা বিভাজ্য হয় | উত্তর: খ | ব্যাখ্যা: ৩ দ্বারা বিভাজ্যতার সূত্রই হলো অঙ্কগুলোর সমষ্টি ৩ দ্বারা বিভাজ্য হতে হবে।
১৭. নিচের কোনটি ৪ দ্বারা বিভাজ্য? ক. ১১৪৬ খ. ২৩৫৪ গ. ৫৬৭২ ঘ. ৪৮৯৮ | উত্তর: গ | ব্যাখ্যা: ৪ দ্বারা বিভাজ্যতার শর্ত হলো শেষ দুটি অঙ্ক দ্বারা গঠিত সংখ্যা ৪ দ্বারা বিভাজ্য হতে হবে। ৭২ কে ৪ দিয়ে ভাগ করা যায় (১৮×৪)।
১৮. ৮ দ্বারা বিভাজ্যতার শর্ত কী? ক. শেষ ২ অঙ্ক ৮ দ্বারা বিভাজ্য খ. শেষ ৩ অঙ্ক ৮ দ্বারা বিভাজ্য গ. অঙ্কগুলোর যোগফল ৮ ঘ. শেষ অঙ্ক ৮ | উত্তর: খ | ব্যাখ্যা: শেষ ৩টি অঙ্ক দ্বারা গঠিত সংখ্যা ৮ দ্বারা বিভাজ্য হলে বা শেষে ৩টি শূন্য থাকলে সংখ্যাটি ৮ দ্বারা বিভাজ্য।
১৯. ৫, ৮, ৪, * সংখ্যাটি ৩ দ্বারা বিভাজ্য হলে * এর স্থানে ক্ষুদ্রতম কোন অঙ্ক বসবে? ক. ০ খ. ১ গ. ২ ঘ. ৩ | উত্তর: খ | ব্যাখ্যা: অঙ্কগুলোর যোগফল ৫+৪+৮+* = ১৭+*। ১৭ এর পর ৩ দ্বারা বিভাজ্য সংখ্যা ১৮। তাই * = ১।
২০. নিচের কোনটি ১১ দ্বারা বিভাজ্য? ক. ১৩৩১ খ. ১২৩২ গ. ১৪৫৩ ঘ. ১৬২৭ | উত্তর: ক | ব্যাখ্যা: ১১ এর সূত্র: বিজোড় স্থানের অঙ্কগুলোর যোগফল ও জোড় স্থানের অঙ্কগুলোর যোগফলের পার্থক্য ০ বা ১১ হতে হবে। ১৩৩১ এ (১+৩)-(৩+১) = ০।
২১. ২²⁰ এর একক স্থানীয় অঙ্ক কত? ক. ২ খ. ৪ গ. ৬ ঘ. ৮ | উত্তর: গ | ব্যাখ্যা: ২ এর পাওয়ার সাইকেল ৪টি (২, ৪, ৮, ৬)। ২০ কে ৪ দ্বারা ভাগ করলে ভাগশেষ ০। ভাগশেষ ০ হলে সাইকেলের শেষ অঙ্ক অর্থাৎ ৬ বসবে।
২২. ৩⁴¹ এর একক স্থানীয় অঙ্ক কত? ক. ১ খ. ৩ গ. ৭ ঘ. ৯ | উত্তর: খ | ব্যাখ্যা: ৩ এর সাইকেল (৩, ৯, ৭, ১)। ৪১ কে ৪ দিয়ে ভাগ করলে ভাগশেষ ১। সাইকেলের ১ম অঙ্ক ৩।
২৩. ৫³২৫ এর একক স্থানীয় অঙ্ক কত? ক. ০ খ. ১ গ. ৫ ঘ. ২৫ | উত্তর: গ | ব্যাখ্যা: ৫ এর ওপর পাওয়ার যাই হোক না কেন, একক স্থানীয় অঙ্ক সবসময় ৫-ই থাকে (৫, ২৫, ১২৫)।
২৪. (৩৪৩)¹² × (৩২৪)¹³ এর একক স্থানীয় অঙ্ক কত? ক. ২ খ. ৪ গ. ৬ ঘ. ৮ | উত্তর: খ | ব্যাখ্যা: ৩৪৩ এর ক্ষেত্রে ৩¹² (ভাগশেষ ০) → ১। ৩২৪ এর ক্ষেত্রে ৪ এর পাওয়ার বিজোড় হলে ৪ হয়। ১ × ৪ = ৪।
২৫. কোনো সংখ্যাকে ৫ দ্বারা ভাগ করলে ২ ভাগশেষ থাকে। সংখ্যাটির বর্গকে ৫ দ্বারা ভাগ করলে কত ভাগশেষ থাকবে? ক. ১ খ. ২ গ. ৩ ঘ. ৪ | উত্তর: ঘ | ব্যাখ্যা: শর্টকাট: ভাগশেষকেই সংখ্যা ধরুন। ২ এর বর্গ ৪। ৪ কে ৫ দিয়ে ভাগ করলে ভাগশেষ ৪ ই থাকে।
২৬. একটি সংখ্যাকে ৬৩ দ্বারা ভাগ করলে ৪৫ অবশিষ্ট থাকে। সংখ্যাটিকে ৭ দ্বারা ভাগ করলে কত অবশিষ্ট থাকবে? ক. ২ খ. ৩ গ. ৪ ঘ. ৫ | উত্তর: খ | ব্যাখ্যা: শর্টকাট: প্রথম ভাগশেষ ৪৫ কে সরাসরি ৭ দিয়ে ভাগ করুন। ৪৫ ÷ ৭ = ৬, ভাগশেষ ৩।
২৭. ১৭²০০ কে ১৮ দ্বারা ভাগ করলে ভাগশেষ কত? ক. ১ খ. ১৭ গ. ১৬ ঘ. ০ | উত্তর: ক | ব্যাখ্যা: (x-১)ⁿ কে x দ্বারা ভাগ করলে, n জোড় হলে ভাগশেষ সবসময় ১ হয়। (১৮-১)²০০ ÷ ১৮ → ভাগশেষ ১।
