পর্ব ১: সরল মুনাফার বেসিক (Simple Interest Basics: I = Pnr/100)
১. শতকরা বার্ষিক ৫ টাকা হার সুদে ৫০০ টাকার ৩ বছরের সুদ কত? ক. ৫০ খ. ৬০ গ. ৭৫ ঘ. ১০০ | উত্তর: গ | ব্যাখ্যা: I = Pnr/100 = (৫০০ × ৩ × ৫) / ১০০ = ৭৫ টাকা।


২. ৬% হারে ৯০০ টাকার ৫ বছরের সুদ কত? ক. ২২০ খ. ২৫০ গ. ২৭০ ঘ. ৩০০ | উত্তর: গ | ব্যাখ্যা: I = (৯০০ × ৫ × ৬) / ১০০ = ২৭০ টাকা।


৩. শতকরা বার্ষিক কত হার সুদে ৭০০ টাকার ৫ বছরের সুদ ১০৫ টাকা হবে? ক. ২% খ. ৩% গ. ৪% ঘ. ৫% | উত্তর: খ | ব্যাখ্যা: r = (১০০ × I) / (P × n) = (১০০ × ১০৫) / (৭০০ × ৫) = ১০৫০ / ৩৫০০ = ৩%।


৪. বার্ষিক ৮% হার সুদে কত টাকার ৪ বছরের সুদ ১২৮ টাকা হবে? ক. ৪০০ খ. ৫০০ গ. ৬০০ ঘ. ৮০০ | উত্তর: ক | ব্যাখ্যা: P = (১০০ × I) / (n × r) = (১০০ × ১২৮) / (৪ × ৮) = ৪০০ টাকা।


৫. ৫% হার সুদে ৮০০ টাকার কত বছরের সুদ ১২০ টাকা হবে? ক. ২ খ. ৩ গ. ৪ ঘ. ৫ | উত্তর: গ | ব্যাখ্যা: n = (১০০ × I) / (P × r) = (১০০ × ১২০) / (৮০০ × ৫) = ৩ বছর।


৬. শতকরা বার্ষিক ৭ টাকা হার সুদে ৪০০ টাকার ২ বছর ৬ মাসের সুদ কত? ক. ৫০ খ. ৬০ গ. ৭০ ঘ. ৮০ | উত্তর: গ | ব্যাখ্যা: সময় n = ২.৫ বছর। I = (৪০০ × ২.৫ × ৭) / ১০০ = ৭০ টাকা।


৭. বার্ষিক ৪.৫% হার সুদে ৪৫০ টাকার ২ বছরের সুদ কত? ক. ৪০.৫ খ. ৪১.৫ গ. ৪২.৫ ঘ. ৪৫ | উত্তর: ক | ব্যাখ্যা: I = (৪৫০ × ২ × ৪.৫) / ১০০ = ৪০.৫ টাকা।


৮. শতকরা বার্ষিক ৯ টাকা হার সুদে কত টাকার ৩ বছরের সুদ ২১৬ টাকা? ক. ৬০০ খ. ৭০০ গ. ৮০০ ঘ. ৯০০ | উত্তর: গ | ব্যাখ্যা: P = (১০০ × ২১৬) / (৩ × ৯) = ৮০০ টাকা।


৯. ১০% হার সুদে কত বছরে ১০০০ টাকার সুদ ৫০০ টাকা হবে? ক. ৩ খ. ৪ গ. ৫ ঘ. ৬ | উত্তর: গ | ব্যাখ্যা: n = (১০০ × ৫০০) / (১০০০ × ১০) = ৫ বছর।


১০. বার্ষিক ১২% হার সুদে ৬০০ টাকার ৬ মাসের সুদ কত? ক. ৩৬ খ. ৪২ গ. ৪৮ ঘ. ৭২ | উত্তর: ক | ব্যাখ্যা: ৬ মাস = ০.৫ বছর। I = (৬০০ × ০.৫ × ১২) / ১০০ = ৩৬ টাকা।


