পর্ব ১: শতকরা (Percentage)
১. ১/৪ কে শতকরায় প্রকাশ করলে কত হয়? ক. ১৫% খ. ২০% গ. ২৫% ঘ. ৩০% | উত্তর: গ | ব্যাখ্যা: যেকোনো ভগ্নাংশকে শতকরায় নিতে ১০০ দ্বারা গুণ করতে হয়। (১/৪) × ১০০ = ২৫%।

২. ০.০৫ কে শতকরায় প্রকাশ করলে কত হয়? ক. ০.৫% খ. ৫% গ. ৫০% ঘ. ৫০০% | উত্তর: খ | ব্যাখ্যা: দশমিককে শতকরায় নিতে ১০০ দিয়ে গুণ করতে হয়। ০.০৫ × ১০০ = ৫%।

৩. ২ এর কত শতাংশ ৮ হবে? ক. ২০০% খ. ৩০০% গ. ৪০০% ঘ. ৫০০% | উত্তর: গ | ব্যাখ্যা: যার শতাংশ বের করতে হবে তা হরে (নিচে) বসে। (৮/২) × ১০০ = ৪০০%।

৪. ১৪৪ এর ২৫% কত? ক. ৩৬ খ. ৪৮ গ. ৭২ ঘ. ৯৬ | উত্তর: ক | ব্যাখ্যা: ২৫% মানে হলো ১/৪ অংশ। ১৪৪ কে ৪ দিয়ে ভাগ করলে ৩৬ পাওয়া যায়।

৫. কোন সংখ্যার ২০% হলো ১২০? ক. ৪০০ খ. ৫০০ গ. ৬০০ ঘ. ৮০০ | উত্তর: গ | ব্যাখ্যা: সংখ্যার ২০% = ১২০ হলে, ১% = ৬। সম্পূর্ণ সংখ্যা ১০০% = ৬০০।

৬. ১২০ এর ১২.৫% কত? ক. ১২ খ. ১৫ গ. ১৮ ঘ. ২০ | উত্তর: খ | ব্যাখ্যা: ১২.৫% এর ভগ্নাংশ মান ১/৮। ১২০ এর ১/৮ অংশ হলো ১৫।

৭. একটি সংখ্যার ১২% যদি ৪৮ হয়, তবে সংখ্যাটির ৬০% কত? ক. ১২০ খ. ২৪০ গ. ৩০০ ঘ. ৩৬০ | উত্তর: খ | ব্যাখ্যা: ১২% = ৪৮, সুতরাং ১% = ৪। অতএব ৬০% = ৬০ × ৪ = ২৪০।

৮. ১/২ এর শতকরা কত অংশ ৩/৪ হবে? ক. ১২৫% খ. ১৫০% গ. ১৭৫% ঘ. ২০০% | উত্তর: খ | ব্যাখ্যা: (৩/৪) ÷ (১/২) × ১০০ = (৩/৪) × (২/১) × ১০০ = ১৫০%।

৯. ২ টাকার ১২.৫% কত? ক. ০.২৫ টাকা খ. ০.১২ টাকা গ. ২.৫ টাকা ঘ. ২৫ টাকা | উত্তর: ক | ব্যাখ্যা: ১২.৫% মানে ১/৮। ২ টাকার ১/৮ = ২/৮ = ১/৪ = ০.২৫ টাকা বা ২৫ পয়সা।

১০. ২.৫ কোন সংখ্যার ০.৫%? ক. ৫০ খ. ৫০০ গ. ২৫০ ঘ. ২০ | উত্তর: খ | ব্যাখ্যা: ০.৫% = ২.৫। উভয় পাশে ২ গুণ করলে ১% = ৫। অতএব ১০০% = ৫০০।

