Senior Officer (General) 2019 [MCQ]
1. Children must be ______ with love and care. a. brought up | b. brought about | c. brought for | d. brought as Ans. a. brought up ব্যাখ্যা: Bring up with something অর্থ কোনো কিছু দিয়ে লালন পালন করা। Up যোগে বাক্যটির বাংলা : ছেলেমেয়েরা অবশ্যই ভালোবাসা এবং আদর দিয়ে লালিত-পালিত হওয়া উচিত।
2. The family looked for a double bedroom- for three days. a. soot | b. suit | c. suite | d. sweet Ans. c. suite ব্যাখ্যা: Double bedroom suite অর্থ দ্বিশয়নকক্ষ বিশিষ্ট কক্ষসমষ্টি। সুতরাং শূন্যস্থানে suite বসবে।
3. It is natural in every man to wish-distinction. a. on | b. for | c. of | d. to Ans. b. for ব্যাখ্যা: Wish for something অর্থ বিশেষত পাওয়া সম্ভব নয় বলে মনে হয় এবং কিংবা নিতান্তই ভাগ্যগুণে পাওয়া যেতে পারে এমন কিছুর আকাঙ্ক্ষা করা। For যোগে বাক্যটির বাংলা: শ্রেষ্ঠত্বের আকাঙ্ক্ষা করা প্রতিটি মানুষের ক্ষেত্রে স্বাভাবিক বিষয়।
4. I am exactly like my mother. I think I have-her. a. taken to | b. taken off | c. taken over | d. taken after Ans. d. taken after ব্যাখ্যা: Take after somebody অর্থ কারো অনুরূপ হওয়া। Take after যোগে বাক্যটির বাংলা : আমি ঠিক আমার মায়ের মতো। আমি মনে করি আমি তার অনুরূপ হয়েছি।
5. Select the word or phrase that is most closely opposite in meaning to the original word. ACUTE a. Sharp | b. Critical | c. Dull | d. Sensitive Ans. c. Dull ব্যাখ্যা: Acute (তীক্ষ্ণ; ক্ষিপ্র; সূক্ষ্ম)-এর বিপরীত dull (স্থূল বুদ্ধি; নির্বোধ)। তাছাড়া sharp অর্থ তীক্ষ্ণ, critical অর্থ জটিল আর sensitive অর্থ সংবেদনশীল; সুবেদী।
6. ORNERY a. Straight-Forward | b. Easy | c. Complex | d. Plain Ans. b. Easy ব্যাখ্যা: Ornery অর্থ বশে আনা কঠিন এমন বা রগচটা আর easy অর্থ যন্ত্রণা, ঝঞ্ঝাট বা উদ্বেগ থেকে মুক্ত; শান্তিপূর্ণ। সুতরাং, শব্দ দুটি বিপরীত অর্থবোধক।
7. VOLUNTARY a. Ordered | b. Alternative | c. Essential | d. Compulsory Ans. d. Compulsory ব্যাখ্যা: Voluntary (স্বেচ্ছাপ্রণোদিত; স্বেচ্ছাপ্রবৃত্ত)-এর বিপরীত শব্দ compulsory (বাধ্যতামূলক)।
8. AFFLUENCE a. Continuance | b. Insurance | c. Diffidence | d. Poverty Ans. d. Poverty ব্যাখ্যা: Affluence (প্রাচুর্য)-এর বিপরীত শব্দ poverty (দারিদ্র্য)। তাছাড়া continuance অর্থ স্থায়িত্ব, diffidence অর্থ আত্মপ্রত্যয়হীন; অবিশ্বাস আর Insurance অর্থ বিমা।
9. Find the correctly spelt word a. Efflorascence | b. Efllorescence | c. Efflorescence | d. Eflorescence Ans. c. Efflorescence ব্যাখ্যা: সঠিক বানানযুক্ত wordটি হলো efflorescence (এফলারেসনস্) যার অর্থ কুসুমের কাল; পুষ্পবিকাশ।
10. Find the correctly spelt word a. Adventitious | b. Adventitus | c. Adventituous | d. Adventitous Ans. a. Adventitious ব্যাখ্যা: Optionগুলোর মধ্যে সঠিক বানানযুক্ত word হলো adventitious (অ্যাডভেনটিশাস) যার অর্থ দৈবাগত; দৈবিক।
11. Find the correctly spelt word a. Aberrant | b. Abberant | c. Aberant | d. Abbarant Ans. a. Aberrant ব্যাখ্যা: Aberrant (বিপথগমন; বিপথগামিতা) হলো একমাত্র সঠিক বানানযুক্ত word।
