"ID","Source","Subject","Question (truncated)","Quality Score","Grade","Verdict","Issues","Fixes"
"0","source-file","04_আন্তর্জাতিক_বিষয়াবলি","ন্যাটো (NATO) কবে প্রতিষ্ঠিত হয়?","99","Excellent","CLEAN","0","0"
"1","source-file","04_আন্তর্জাতিক_বিষয়াবলি","'অকাস' (AUKUS) সামরিক জোটের সদস্য দেশগুলো কী কী?","99","Excellent","CLEAN","0","0"
"2","source-file","04_আন্তর্জাতিক_বিষয়াবলি","'কোয়াড' (QUAD) জোটের ধারণা প্রথম কোন নেতা প্রস্তাব করেন?","99","Excellent","CLEAN","0","0"
"3","source-file","04_আন্তর্জাতিক_বিষয়াবলি","'Comprehensive Nuclear-Test-Ban Treaty' (CTBT) কবে জাতিসংঘ সাধারণ পরিষদে গৃহীত হ","99","Excellent","CLEAN","0","0"
"4","source-file","04_আন্তর্জাতিক_বিষয়াবলি","স্নায়ুযুদ্ধ (Cold War) চলাকালীন সোভিয়েত ইউনিয়নের নেতৃত্বাধীন সামরিক জোটের নাম","99","Excellent","CLEAN","0","0"
"5","source-file","04_আন্তর্জাতিক_বিষয়াবলি","'ফাইভ আইজ' (Five Eyes) মূলত কী ধরনের জোট?","99","Excellent","CLEAN","0","0"
"6","source-file","04_আন্তর্জাতিক_বিষয়াবলি","চীনের 'স্ট্রিং অফ পার্লস' (String of Pearls) কৌশলটি মূলত কোন অঞ্চলকে কেন্দ্র করে","99","Excellent","CLEAN","0","0"
"7","source-file","04_আন্তর্জাতিক_বিষয়াবলি","যুক্তরাষ্ট্রের 'মনরো ডকট্রিন' (Monroe Doctrine) এর মূল উদ্দেশ্য কী ছিল?","99","Excellent","CLEAN","0","0"
"8","source-file","04_আন্তর্জাতিক_বিষয়াবলি","'আয়রন ডোম' (Iron Dome) কোন দেশের আকাশ প্রতিরক্ষা ব্যবস্থা?","99","Excellent","CLEAN","0","0"
"9","source-file","04_আন্তর্জাতিক_বিষয়াবলি","'কিউবার ক্ষেপণাস্ত্র সংকট' (Cuban Missile Crisis) কত সালে সংঘটিত হয়েছিল?","99","Excellent","CLEAN","0","0"
"10","source-file","04_আন্তর্জাতিক_বিষয়াবলি","'নাইন-ড্যাশ লাইন' (Nine-Dash Line) কোন সাগরের বিরোধপূর্ণ সামুদ্রিক সীমানার সাথে ","99","Excellent","CLEAN","0","0"
"11","source-file","04_আন্তর্জাতিক_বিষয়াবলি","স্ট্র্যাটেজিক আর্মস রিডাকশন ট্রিটি (START) চুক্তি কাদের মধ্যে স্বাক্ষরিত হয়েছিল","99","Excellent","CLEAN","0","0"
"12","source-file","04_আন্তর্জাতিক_বিষয়াবলি","ইন্টারপোল (INTERPOL) এর সদর দপ্তর কোথায় অবস্থিত?","99","Excellent","CLEAN","0","0"
"13","source-file","04_আন্তর্জাতিক_বিষয়াবলি","'এমআই-সিক্স' (MI6) কোন দেশের বৈদেশিক গোয়েন্দা সংস্থা?","99","Excellent","CLEAN","0","0"
"14","source-file","04_আন্তর্জাতিক_বিষয়াবলি","'ট্রুম্যান ডকট্রিন' (Truman Doctrine) এর মূল উদ্দেশ্য কী ছিল?","99","Excellent","CLEAN","0","0"
"15","source-file","04_আন্তর্জাতিক_বিষয়াবলি","ফিলিস্তিন ভূখণ্ডে ইহুদিদের জন্য একটি জাতীয় বাসভূমি প্রতিষ্ঠার প্রথম আনুষ্ঠানিক ","99","Excellent","CLEAN","0","0"
"16","source-file","04_আন্তর্জাতিক_বিষয়াবলি","জাতিসংঘের নিরাপত্তা পরিষদের অস্থায়ী সদস্য দেশগুলোর মেয়াদ কত বছর?","99","Excellent","CLEAN","0","0"
